page_number,page_id,review_priority,human_review_required,auto_seed_status,suggested_canonical_route,auto_seeded_gold_route_label,legacy_route,ocr_word_count,part_number_count,seed_reasons,ocr_sample_text,source_image_path,gold_route_label,review_status,review_notes
100,t_p_120_1176_p000100,medium,True,needs_human_review,table_or_index,,table,94,2,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
~~ 40
“S>
S
190 »\\ 20
W
@ | XX.
50 50 NN pe
7
° &b \ / rn’, /
ng ip
80 Ly S>
60 ob a Pg ZY SB
QD [SF
LO
130 a
SX ""0 yy Ye
VFO weRS
‘oe 140 SS (C)
((— 160
\ 120
220 230
ZS 240 | 3
250 fF | SS
: 270 NY
270 o (B) 6 oS
|
a | =
280 4 7 270
270 260”
260 —°
120CMM251006.MCE
Single Passenger Seat (120-61547-507 and 120-41824-297/343)
Figure 5A
Sheet 1
EFFECTIVITY: ALL
25 21 00 Page 1068A
T.P. 120/1176 Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000100.tif,,needs_review,
104,t_p_120_1176_p000104,medium,True,needs_human_review,table_or_index,,table,67,1,table_or_index_medium_or_ambiguous,"-< ENMIBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
50
60 60
ee 30
100 Fo
90 / ; , (D) ® SS .
80 70 “Pe
* \ oN
SE CB
10 150 © y / (A)
1a ee 4p Le
Ow a, EZ
< < &, S
J. © Zr
160 170
(B 200 10 270
230 aN aX 590 | db
| 120TP250019.MCE
Single Passenger Seat (120-61381-001)
Figure 6
Sheet 1
EFFECTIVITY: ALL 25-21 -00 nage 1068
T.P. 120/1176 Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000104.tif,,needs_review,
106,t_p_120_1176_p000106,medium,True,needs_human_review,detailed_parts_list,,table,159,6,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
06 ATTACHING PARTS
-195 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 2
-196 | AN960C3 © WASHER ..... eee ccccccccecceececeetststseasaeeeeeeees 2
-197 | H42-04 NUT ccc cece cece eeeeeeeee eee seaaaaaa ene eeeeee 2
-198 |MS24693-C5 1 Od at || ee 2
200 | 120-40636-001 . LINING ASSY., ARMREST... VS4956 2
210 | 120-41474-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-211 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
220 | 120-41475-001 . COVER, TRIM, FRONT...............c0c eee VS4956 2
230 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 1
ATTACHING PARTS
240 | PE17001-3PR PLUG, NYLON o.oo... cece tteeeeeneees 2
250 | NAS1096-1-8 SCREW 20... occ cccceecccetteceeeeeeeeeseeeeennenneaes 2
260 | AN960-C8 WASHER ........0cccccccccccceeceeeeceessssttsessaaeeeee",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000106.tif,,needs_review,
107,t_p_120_1176_p000107,medium,True,needs_human_review,table_or_index,,table,68,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

40

20

80

Ih

50

I

QO @

30

60 of!

50

oP

4 \

90

SZ

1B

9 100 «| y

<“Sos

Zz

10

Rp

JS

120 110

160

170

230

190

180

Q

\

230-——

230

\\

Q

a

150

<_

aL

a

200 4

210

200

120CMM251001.MCE

Single Passenger Seat (120-61381-501)

Figure 6A

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1072

T.P. 120/1176

Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000107.tif,,needs_review,
110,t_p_120_1176_p000110,medium,True,needs_human_review,table_or_index,,table,75,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

100

lI:

Y.

yp

80

40

70

90

110

<>

<P 280

 B

230

130

180 150 oy, yy.

>

QQ

i]

y/)

CNS

140 (C)

es.

r—

Bp

(

120

160

170

240

200

210

280

220

280

a

N

es

280

190

\

a

270 4

Q

al)

260‘

250

120TP0020.MCE

SINGLE PASSENGER SEAT (120-61381-003)

Figure 7

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1072C/D

|

T.P. 120/1176

Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000110.tif,,needs_review,
113,t_p_120_1176_p000113,medium,True,needs_human_review,detailed_parts_list,,table,163,7,detailed_parts_list_not_strong_enough,"€& emenncr

USAGE CODE LIST

A AIRCRAFT 120304 THRU 120308 AND
120310

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
07 ATTACHING PARTS
-195 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
-196 | AN960C3 WASHER. cesses cesssssseesseseseetecestneseeventeee 2
-197 |H42-04 NUT occ cccseseseessssssseeessesteeesessneesenveneeseveeess 2
-198 |MS24693-C5 SCREW. oeeccsccssssssseessossesssesseteessstnseesvneeen 2
200 | 120-40636-001 LINING ASSY., ARMREST .......000::cccce- VS4956 1
210 | 120-41474-002 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
220 | 120-41475-001 COVER, TRIM, FRONT oo...cccccccccsscneeeeee VS4956 1
230 | 120-41784-001 COVER, TRIM, LATERAL .......ccccccssccceceen VS4956 1
240 | 120-47462-001 COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) .....00cceeccccee VS4956 | 304/315] 1
-241 | 120-61610-001 COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000113.tif,,needs_review,
114,t_p_120_1176_p000114,medium,True,needs_human_review,table_or_index,,table,80,1,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
40
50
50
hs 20
90
60 5 * (A) 40
0 60 is
80 | NN
100
sé
170 40 © / / (A)
; 3 ©
LOY
10 A
AAU
ww (8)
120 150
160
WY. © SE
S/ 130 Ee bso
SY \/S von = 190 y
(/ 110 y ; aN, ae
0S S  @
ae
OO
230 —“f
220-~“&
210 —
120TP250021.MCE
Single Passenger Seat (120-61381-005)
Figure 8
Sheet 1
EFFECTIVITY: ALL
25 21 00 Page 1075
T.P. 120/1176 Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000114.tif,,needs_review,
116,t_p_120_1176_p000116,medium,True,needs_human_review,detailed_parts_list,,table,110,5,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK edger eODE. FROM | PER
NUMBER TO ASSY
08 180 | 120-40636-001 . LINING ASSY., ARMREST ..............000ee VS4956 2
190 | 120-41474-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-191 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
200 | 120-41475-001 . COVER, TRIM, FRONT................ccceeeeees VS4956 2
ATTACHING PARTS
210 | PE17001-3PR PLUG, NYLON... cccceeceeettseeeeeeeeees 2
220 | NAS1096-1-8 SCREW ooo. ccccccccccccceccceseesscsstsseeeaaeeees 2
230 | AN960-C8 AAV ANS) | =] 2
240 | MS24693-C26 SCREW ooo. ccccccccceccescstestssseaseaneeeeeees 4
USAGE CODE LIST
A AIRCRAFT 120304 THRU 120308 AND
120310
-ITEM NOT ILLUSTRATED
Single Passenger Seat (120-61381-005)
Figure 8
Sheet 3
EFFECTIVITY: ALL 25-2 1 -00
Page 1077
T.P. 120/1176 Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000116.tif,,needs_review,
117,t_p_120_1176_p000117,medium,True,needs_human_review,table_or_index,,table,93,2,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
~~ 40
“Ss
S
190 _ / 20
@ | XX.
if
x , © SE BS
90 of, \ \ +10 150 C7? dL
a
80 L-7 BesS>
°° ob 480 a KZ
QD SF
- gO)
130 \ a
* ® yy ee
VGO wR
loos Me
SS se 170
(~~ 160
. 120
OD a \ .
210 270 230
ZSe 220 | 240 | A
“ SF A ws ) | Ry
ow = (B) 270 | ei (A)
| KE
t 280,
280 —~ § / 270
270 260”
260 ~?
120CMM251008.MCE
Single Passenger Seat (120-61547-501 and 120-41824-217/235)
Figure 8A
Sheet 1
EFFECTIVITY: ALL
25-21-00 Page 1078
T.P. 120/1176 Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000117.tif,,needs_review,
120,t_p_120_1176_p000120,medium,True,needs_human_review,table_or_index,,table,76,1,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
50
60
60

qs \ 30
100 Co (D)

bi

"" 70 do it (A) SS 40
8070 Ps
20 \ NN
110
SE iB
180 150 ©/ / / (A)

130 ee Af <—E
~ (©) EEF ©
SSeS ig By ‘

(/ 120 IS ff (C)
160 170
<P
aN Iyer 230 LF? |
oe Ry “ (A)
299 ~—«*190 = ; 270 ;
120TP250022.MCE
Single Passenger Seat (120-42547-001/501)
Figure 9
Sheet 1
EFFECTIVITY: ALL 25-21 -00 age 1078CI0
T.P. 120/1176 Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000120.tif,,needs_review,
124,t_p_120_1176_p000124,medium,True,needs_human_review,table_or_index,,table,84,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

60

O

100

90

pe

70

SS

40

80 \\

70

A)

90

is

110

oN

SF 290

 B

<—S

130

180 150 C? 240

i

S&S

140 (C)

DS

CS \ re

>

ce

I~ ee

(

120

SS

160

170

200 PB

210

250

230

220

290

Ft

290 ——

IN

‘

-

\\

(Sy

J

300

a

a

200-—F

ay

270‘

26

120TP250023.MCE

Single Passenger Seat (120-42547-003/503)

Figure 10

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1081

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000124.tif,,needs_review,
127,t_p_120_1176_p000127,medium,True,needs_human_review,table_or_index,,table,101,1,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
40
50
50
rs 20
90
60 79 * . (A) 30
0 60 is
60 \ NN a
100,
SF, ®
170 140 C7 / /
fs P|
SNS Ly Say
/ SSSA ff <A
PS OQ Kae
Xewueres \ ‘ > S Z (D)
\\ “s \ \ AY
\A ~S A
\\ S\N 10 Be
> SOS 1 Ly “€
\ Ne nN \. NGS
< SS
180 > d 150
Q, \ 160
\ J
ns
210
220 )
190
ox -_ cao Ww
NG i x
Vi © ae
130 wes
SN \ FO Ong
(f 230-2
( 110
120TP250024.MCE |
SINGLE PASSENGER SEAT (120-42547-005/505)
Figure 11
Sheet 1
EFFECTIVITY: ALL
25-21-00 Page 1084
Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000127.tif,,needs_review,
129,t_p_120_1176_p000129,medium,True,needs_human_review,detailed_parts_list,,table,146,7,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER ASSY
11-180 | 120-36843-001 -HOLDER, MAGAZINE... cccccccecceeen VS4956 1
190 | 120-41475-001 COVER, TRIM FRONT o....cccccccccsscceceeeee VS4956 1
-191 | 120-41475-003 COVER, TRIM FRONT o.0...ccccccccccsscsececeee VS4956 1
200 | AM03078-22 ASHTRAY 0 csceseccsssssesssssttneseeeventeeeensneeen F065846/058/059| 1
-201 | AM03078-30 ASHTRAY 0 cssesescecsssssseessessecteeeeveneeeeesseneeen E065846| 060/999] 1
210 | 120-40636-001 _ LINING ASSY., - ARMREST ........sccccceee VS4956 2
220 | 120-41474-001 COVER, TRIM REAR-FIXED ARMREST .. VS4956 1
-221 | 120-41474-002 _ COVER, TRIM REAR-FIXED
ARMREST ooo. ccssssssscessssseesesesseteeteesenteeeenee VS4956 1
ATTACHING PARTS
230 | PE17001-3PR PLUG, NYLON o...cccscsccesssssseeeeeseseeeeeeeseee 2
240 | NAS1096-1-8 SCREW. oeeccsccssssssseessessesssesveteeseseneesevnneee 2
250 | AN960-8L WASHER 0... .",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000129.tif,,needs_review,
130,t_p_120_1176_p000130,medium,True,needs_human_review,table_or_index,,table,69,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60 50

y

100 |

90

70

80

40

80

70

is

90

110

130

ea

IPF; |

L/\

ZS

;

20

ci?

se

10

BO

f]

ln

120

160 1470

200

240

210

220

270

230

270 ——

N

OF

~

d

\

C?

260

a

290 4

280‘

=,

2507

120TP250025.MCE

Single Passenger Seat (120-42547-007/507)

Figure 12

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1087

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000130.tif,,needs_review,
133,t_p_120_1176_p000133,medium,True,needs_human_review,table_or_index,,table,66,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

60

100 |

30

90

70

| ~

80 L\

40

70

90 \

is

110

210

130

Jy

oS

ne

be

a

Oy

20

Nes.

—

10

|

(

120

160

170

200

190

180

250

NY

250 ——

a

IN

Sy

260

\

Q

»

=,

240 4

230

2207

120TP250026.MCE

Single Passenger Seat (120-45850-001/501)

Figure 13

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1090

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000133.tif,,needs_review,
136,t_p_120_1176_p000136,medium,True,needs_human_review,table_or_index,,table,71,1,table_or_index_medium_or_ambiguous,"MAINTENANCE MANUAL WITH

-< EMBRAER

ILLUSTRATED PARTS LIST

50

60

60

ia

100

90

|

80

40

80

70

is

90 \

110

TN

260

4B

Te

130

oon

<li J]

if]

ve

OS

SY \ Oe

4

L

[P

Y

(

120

210

wD

170

180

260

190

260 ——

IN

GT

~

-

\

a

»

270

Yi

250 5

240 “3

230

120TP250027.MCE

Single Passenger Seat (120-45850-003/503)

Figure 14

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1093

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000136.tif,,needs_review,
139,t_p_120_1176_p000139,medium,True,needs_human_review,table_or_index,,table,83,1,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
JESS. 40
ae \ \
Ye \\
_~ i:
, <> ‘s 20
140 =
(B) mS 30
o| Om
90 PR. <> (A)
80 \ ao /
70 | \ a 4p |
70 seS5
* of Ln Shen SF |
eo
120 Pe
Se 10 />
VFO br
les c
(( 110
~<a
160
1 ee 30 * von 480 1
190
250-— : Sx (B) 250 — : x (A)
BE |
ae
a4 240 ;
220 220
120TP250028.MCE
Single Passenger Seat (120-45850-007/507)
Figure 15
Sheet 1
EFFECTIVITY: ALL 25-2 1 -00
Page 1096
Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000139.tif,,needs_review,
141,t_p_120_1176_p000141,medium,True,needs_human_review,detailed_parts_list,,table,78,1,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM; PARTNUMBER | STOCK Maer EODE. FROM; PER
NUMBER TO ASSY
15 ATTACHING PARTS
220 | PE1/001-3PR . PLUG, NYLON |... eee certeeereetteteeen 2
230 | NAS1096-1-8 SCREW... cecccceceereeeeertteeenteeeensneeeennnees 2
240 | AN960-8L ~ WASHER LL... cccceeeree cette eentneeeteeteeenees 2
250 | MS24693-C28 SCREW... ceeceecceeereeneereeeeeneeeeetneeeenes 4

USAGE CODE LIST

A AIRCRAFT 120104 THRU 120308 AND
120310

-ITEM NOT ILLUSTRATED
Single Passenger Seat (120-45850-007/507)

Figure 15
Sheet 3

EFFECTIVITY: ALL 25-21 -00
Page 1098

Sep 30/98

",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000141.tif,,needs_review,
142,t_p_120_1176_p000142,medium,True,needs_human_review,table_or_index,,table,67,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

60

30

100

90

70

40

80 |

80

70

90 410

Pa

SF

210

Ie

130

a

S35

aa

GL

140 (C)

\imenel

120

a

LU

160

170

250

200

190

180

250 ——

Q

NI

(ay

260

\\

q

a

240

=,

230

220

120TP250029.MCE

Single Passenger Seat (120-45850-005/505)

Figure 16

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1099

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000142.tif,,needs_review,
145,t_p_120_1176_p000145,medium,True,needs_human_review,table_or_index,,table,67,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

60

60

30

100

90

70

ps

80 /

80

70

MD Es

40

-

110

SF

CB

180 150

130

am

a

a

OS

20

Nes.

(

Je

120

10

Y

160 170

200

210

220

240

230

250

250-———

~

~

NI

\

(Sy

250

\

a

a

~!

250.

120TP250030.MCE

Single Passenger Seat (120-36833-001)

Figure 17

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1102

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000145.tif,,needs_review,
147,t_p_120_1176_p000147,medium,True,needs_human_review,detailed_parts_list,,table,122,7,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
17 ATTACHING PARTS
-195 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 2
-196 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
200 | AM03078-22 ASHTRAY 0cscocececsssssecesosseeteesestttessesenneee E065846
-210 | 120-36839-001 _ LINING ASSY., - ARMREST o.......ccccoe VS4956
220 | 120-34691-001 COVER, LATCH, SNACK TABLE ASS
(SEE FIGURE 25-21-00-110)Y ...ccececcccee VS4956 1
230 | 120-36844-001 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
-231 | 120-36844-002 _COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
240 | 120-34891-003 COVER, TRIM, FRONT 0.0...cccccccccccscseeeeeee VS4956 1
-241 | 120-34891-001 COVER, TRIM, FRONT .o..cccccccccsscceeeeee VS4956 1

ATTACHING PARTS

250 | MS24693-S24 SCREW... ceeccecceereeesereeeeeneteeeeneeeennns 9g

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-001)
Figure 17
Shee",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000147.tif,,needs_review,
148,t_p_120_1176_p000148,medium,True,needs_human_review,table_or_index,,table,70,1,table_or_index_medium_or_ambiguous,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

60

30

100

90

lI

po

70

80

40

807

Ps

® Qe

90 \

110

SF

1B

130

150 C? y

<So°5

oor

140

es.

se

(

120

A

170

180

190

210

200

(Le

210 ——

2

y

\

N

160

a

\

ay

210

a

2

210 A

m

120TP250031A.MCE

Single Passenger Seat (120-36833-501)

Figure 18

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1105

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000148.tif,,needs_review,
150,t_p_120_1176_p000150,medium,True,needs_human_review,detailed_parts_list,,table,92,5,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK vase EODE. FROM | PER
NUMBER TO ASSY
18 190 | 120-40795-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-191 | 120-40795-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
200 | 120-40796-001 . COVER, TRIM, FRONT...........0:: ee eeeeeees VS4956 1
-201 | 120-40796-003 . COVER, TRIM, FRONT.............. eee: VS4956 1
ATTACHING PARTS
210 | MS24693-S24 SCREW 0 eeccccecereeeeeeeeeesneeeeentreeeneneeees 9g

USAGE CODE LIST

A AIRCRAFT 120034 THRU 120048 AND
120052

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-501)
Figure 18
Sheet 3

EFFECTIVITY: ALL 25-21 -00
Page 1107

Sep 30/98

",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000150.tif,,needs_review,
151,t_p_120_1176_p000151,medium,True,needs_human_review,table_or_index,,table,68,1,table_or_index_medium_or_ambiguous,"MAINTENANCE MANUAL WITH

-< EMBRAER

ILLUSTRATED PARTS LIST

60

60

30

100 |

90

80 79

Pee

30 \

110

1B

180 150 C?

SF

130

SoS

Nai

oo

>

O

140

20

YS

Nes.

Je

10

(

120

s,

160 170

200

210

220

240

X

a

230

240-—

aN

\

190

a

a

240

a

240 —*

=,

120TP250032A.MCE

Single Passenger Seat (120-36833-509)

Figure 19

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1108

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000151.tif,,needs_review,
153,t_p_120_1176_p000153,medium,True,needs_human_review,detailed_parts_list,,table,123,6,detailed_parts_list_not_strong_enough,"€& emenncr

USAGE CODE LIST

A AIRCRAFT 120034 THRU 120048,
120052, 120056 AND 120059

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
19 ATTACHING PARTS
-195 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 2
-196 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
200 | AM03078-22 ASHTRAY 0cscocececsssssecesosseeteesestttessesenneee E065846 1
210 | 120-37735-001 _ LINING ASSY., - ARMREST ........sccccceee VS4956 2
220 | 120-40795-002 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
-221 | 120-40795-001 _COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
230 | 120-40796-001 COVER, TRIM, FRONT 0.0...cccccccccccscseeeeeee VS4956 1
-231 | 120-40796-003 COVER, TRIM, FRONT o.....cccccccccccscceeeeeee VS4956 1
ATTACHING PARTS
240 | MS24693-S24 SCREW oo eeccscsssssssecssesseeesesseteeseseneeesvneeen 9

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-509)
Figure 19
Sheet 3

EFF",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000153.tif,,needs_review,
154,t_p_120_1176_p000154,medium,True,needs_human_review,table_or_index,,table,75,1,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
60 40
rh | 30
100 90 “Ds (D) eo 50 —
Q 40
9° 410 se
EE, 260 — B
t 50 (7 y / ae P
130 Of Ke
< SK [> —— (D)
or \/& UA Qneé
(a= 120 . @, (C)
109 70
200
© “SO 210 20 260
250 AN ao 230 | | Lb
60 <2)
Qt) 260-~*
120TP250033.MCE
Single Passenger Seat (120-36833-003)
Figure 20
Sheet 1
EFFECTIVITY: ALL 25-21 -00 page 1111
Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000154.tif,,needs_review,
156,t_p_120_1176_p000156,medium,True,needs_human_review,detailed_parts_list,,table,117,6,detailed_parts_list_not_strong_enough,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM | PARTNUMBER | STOCK ase eODE. FROM| PER
NUMBER To | ASSY
20 ATTACHING PARTS

-195 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 2

-196 | 1002-F . FASTENER BUTTON, MALE..w.......ccccee- E075221 2

200 | AM03078-22 ASHTRAY ooo ecccccccssssssssesssseteeeesnneesenneeeen E065846 1

210 | 120-36839-001 _ LINING ASSY., - ARMREST ...........ccccee VS4956 1

220 | 120-36844-002 _COVER, TRIM, REAR-FIXED ARMREST. VS4956 1

230 | 120-34891-003 COVER, TRIM, FRONT .....ccccccccce cece VS4956 1

240 | 120-34859-001 COVER, TRIM, LATERAL .......cccccscsecceee VS4956 1

250 | 120-34691-001 COVER, LATCH, SNACK TABLE ASSY,
(SEE FIGURE 25-21-00-110) 0... VS4956 1

ATTACHING PARTS

260 | MS24693-S24 SCREW... ceccceeereeceeneeeeetteeeeneieeeeserees 6

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-003)
Figure 20
Sheet 3

EFFECTIVITY: ALL 25-21 -00
Page 1113

Sep 30/98

",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000156.tif,,needs_review,
157,t_p_120_1176_p000157,medium,True,needs_human_review,table_or_index,,table,69,1,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
60
60
100 fo (D)
90 va Tt . ® aA .
70 ine
9 H0 NN
<> GiB
150 (FE / / NG
130 Ae Af ke
Le? BSA
ON S&S [OE
‘(aa . Es; (C)
170
AN a © 200 “S 99 b
ay 220-— i Sc) (A)
L "" 7 220“
Single Passenger Seat (120-36833-503) |
Figure 21
Sheet 1
EFFECTIVITY: ALL 25-21 -00 page 1114
Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000157.tif,,needs_review,
