page_number,page_id,source_member,legacy_route,suggested_canonical_route,suggested_route_confidence,auto_seeded_gold_route_label,human_gold_route_label,final_gold_route_label,decision_source,final_review_status,human_review_required,review_priority,review_notes,source_review_file,ocr_word_count,part_number_count,source_image_path,ocr_sample_text
105,t_p_120_1176_p000105,00000105.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,221,11,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000105.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK Maer EODE. FROM PER
NUMBER TO ASSY
06 - | 120-61381-001 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 304/999] REF
1 |120-61410-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113)........... VS4956 1
10 | 120-29067-029 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-80) ooo... ccc cc cece cececce ease eeeeeees VS4956 1
20 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-42221-001 . LINING ASSY., SEAT BACKREST ............ VS4956 1
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-45726-001 . COVER, PLASTIC... eee VS4956 A 1
60 | PE915051-1-PT ~. SEAT BELT... 0... ccc cece cece ccc ccceccecccucceuceeecenecs VS4956 1
ATTACHING PARTS
70 |NAS1149C0432R ~ WASHER. 2... occ cece cccccccccccncceceeeccetececceeceaces 4
80 |MS21042L4 A ee 2
90 | PE64005-1 ~ BUSHING 0.0... cc cc ccc cccceeccsececececeeuccecceu"
106,t_p_120_1176_p000106,00000106.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,159,6,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000106.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
06 ATTACHING PARTS
-195 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 2
-196 | AN960C3 © WASHER ..... eee ccccccccecceececeetststseasaeeeeeeees 2
-197 | H42-04 NUT ccc cece cece eeeeeeeee eee seaaaaaa ene eeeeee 2
-198 |MS24693-C5 1 Od at || ee 2
200 | 120-40636-001 . LINING ASSY., ARMREST... VS4956 2
210 | 120-41474-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-211 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
220 | 120-41475-001 . COVER, TRIM, FRONT...............c0c eee VS4956 2
230 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 1
ATTACHING PARTS
240 | PE17001-3PR PLUG, NYLON o.oo... cece tteeeeeneees 2
250 | NAS1096-1-8 SCREW 20... occ cccceecccetteceeeeeeeeeseeeeennenneaes 2
260 | AN960-C8 WASHER ........0cccccccccccceeceeeeceessssttsessaaeeeee"
107,t_p_120_1176_p000107,00000107.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,68,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000107.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

40

20

80

Ih

50

I

QO @

30

60 of!

50

oP

4 \

90

SZ

1B

9 100 «| y

<“Sos

Zz

10

Rp

JS

120 110

160

170

230

190

180

Q

\

230-——

230

\\

Q

a

150

<_

aL

a

200 4

210

200

120CMM251001.MCE

Single Passenger Seat (120-61381-501)

Figure 6A

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1072

T.P. 120/1176

Jan 15/01
"
108,t_p_120_1176_p000108,00000108.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,223,9,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000108.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK ase eODE. FROM | PER
NUMBER TO ASSY
O6A - | 120-61381-501 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 339/999] REF
1 | 120-29067-029 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-80) oo... c cece eee eetteeeeeees VS4956 1
10 | 120-49362-001 . LINING ASSY., SEAT BOTTOM................. VS4956 1
-11 | 120-37314-001 © PLACARD. 0... cccccccccccccccencestttsteeseeeeeeneees VS4956 1
20 | 120-63349-001 . LINING ASSY., SEAT BACKREST............ VS4956 1
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
40 | PE915051-1-PT / SEAT BELT o......cccccceccccceeeeeeeeeseeesntneneees VS4956 1
ATTACHING PARTS
50 | AN960-416 WASHER ...........ccccceecceeecssteeeeeeeeeeeeeeeeesnnneniees 4
60 | MS21042L4 NUT oo. ceeeeeceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeaaaes 2
70 | PE64005-1 SS) OLS) | C re VS4956 2
80 | AN4-22A BOLT ooo... cccccccccceeecesteteeeeeeeeeeeeeese"
109,t_p_120_1176_p000109,00000109.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,119,6,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000109.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK Maer EODE. FROM PER
NUMBER TO ASSY
O6A 160 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY

(SEE FIGURE 25-21-00-113)........... VS4956 1

170 | 120-40636-001 . LINING ASSY., ARMREST....0....c. VS4956 2

180 | 120-41474-001 . COVER, TRIM, REAR-FIXED ARMREST. VS4956 1

-181 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST. VS4956 1

190 | 120-41475-001 . COVER, TRIM, FRONT ........00.0 ee. VS4956 2

ATTACHING PARTS

200 |PE17001-3PR PLUG, NYLON Looe cee cere aes VS4956 2

210 | NAS1096-1-8 SCREW. .0.....cccccccccccccccccccceccceuceueceneeuneeeceeaes 2

220 | AN960-C8 WASHER o.oo .. ccc ccccccceccceccucccucecuceusecuseeuseraees 2

230 |MS24693-C26 SCREW . oo... cc cccccccccccccceccccceccccuccueceuceseeecenass 7

-ITEM NOT ILLUSTRATED
Single Passenger Seat (120-61381-501)
Figure 6A
Sheet 3
EFFECTIVITY: ALL 25-21 -00
Page 1072B
T.P. 120/1176 Jan 15"
110,t_p_120_1176_p000110,00000110.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,75,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000110.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

100

lI:

Y.

yp

80

40

70

90

110

<>

<P 280

 B

230

130

180 150 oy, yy.

>

QQ

i]

y/)

CNS

140 (C)

es.

r—

Bp

(

120

160

170

240

200

210

280

220

280

a

N

es

280

190

\

a

270 4

Q

al)

260‘

250

120TP0020.MCE

SINGLE PASSENGER SEAT (120-61381-003)

Figure 7

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1072C/D

|

T.P. 120/1176

Jan 15/01
"
111,t_p_120_1176_p000111,00000111.tif,blank_candidate,blank_candidate,high,blank_candidate,blank_candidate,blank_candidate,human_review,auto_seeded_spot_check_optional,False,low,,local_data\organization\trace_net\gold_label_review_reduction\low_priority_auto_seeded_audit_sample.csv,0,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000111.tif,
112,t_p_120_1176_p000112,00000112.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,203,10,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000112.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK vase EODE. FROM| PER
NUMBER To | ASSY
07 - | 120-61381-003 SINGLE PASSENGER SEAT ASSY ............. VS4956 | 304/999| REF
1 | 120-61410-001 _ TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113) .....ccccccccce VS4956 1
10 | 120-29067-031 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-81) o.oo ccecccecccssssesesesesstetteessenneeenee VS4956 1
20 | 120-33774-001 LINING ASSY., SEAT BOTTOM......0.....0. VS4956 1
30 | 120-42221-001 LINING ASSY., SEAT BACKREST............. VS4956 1
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST 0.0.0... VS4956 1
50 | 120-45726-001 COVER, PLASTIC .......ccccccccscsc cece vs4956| A 1
60 | PE915051-1-PT SEAT BELT occccccccccccccescssseeseseseneeeesteneeeeee VS4956 1
ATTACHING PARTS
70 |NAS1149C0432R / WASHER 0. escessccssseseeessveteeessesteneecesetneeeee 4
80 | MS21042L4 NUT cos cecsssseeessessieeessssteessesveneessevineeeesenneeseen 2
9"
113,t_p_120_1176_p000113,00000113.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,163,7,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000113.tif,"€& emenncr

USAGE CODE LIST

A AIRCRAFT 120304 THRU 120308 AND
120310

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
07 ATTACHING PARTS
-195 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
-196 | AN960C3 WASHER. cesses cesssssseesseseseetecestneseeventeee 2
-197 |H42-04 NUT occ cccseseseessssssseeessesteeesessneesenveneeseveeess 2
-198 |MS24693-C5 SCREW. oeeccsccssssssseessossesssesseteessstnseesvneeen 2
200 | 120-40636-001 LINING ASSY., ARMREST .......000::cccce- VS4956 1
210 | 120-41474-002 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
220 | 120-41475-001 COVER, TRIM, FRONT oo...cccccccccsscneeeeee VS4956 1
230 | 120-41784-001 COVER, TRIM, LATERAL .......ccccccssccceceen VS4956 1
240 | 120-47462-001 COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) .....00cceeccccee VS4956 | 304/315] 1
-241 | 120-61610-001 COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-"
114,t_p_120_1176_p000114,00000114.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,80,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000114.tif,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
40
50
50
hs 20
90
60 5 * (A) 40
0 60 is
80 | NN
100
sé
170 40 © / / (A)
; 3 ©
LOY
10 A
AAU
ww (8)
120 150
160
WY. © SE
S/ 130 Ee bso
SY \/S von = 190 y
(/ 110 y ; aN, ae
0S S  @
ae
OO
230 —“f
220-~“&
210 —
120TP250021.MCE
Single Passenger Seat (120-61381-005)
Figure 8
Sheet 1
EFFECTIVITY: ALL
25 21 00 Page 1075
T.P. 120/1176 Sep 30/98
"
115,t_p_120_1176_p000115,00000115.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,200,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000115.tif,"€ emennce

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK ease eODE. FROM | PER
NUMBER TO ASSY
08 - | 120-61381-005 SINGLE PASSENGER SEAT ASSY............ VS4956 | 304/999} REF
1 | 120-29067-033 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-83) 2000. eee cee cceceeeeeeeeeeeeeeeeeees VS4956 1
10 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
20 | 120-42221-001 . LINING ASSY., SEAT BACKREST............ VS4956 1
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
40 | 120-45726-001 . COVER, PLASTIC... cceeeeeeeeeeeeeees VS4956 A 1
50 | PE915051-1-PT / SEAT BELT... ccccceccscnsssseesseeeeeeeees VS4956 1
ATTACHING PARTS
60 | NAS1149C0432R WASHER ...........ccccccceeeeeceeseeeeeeeeeeeeeeennnneniees 4
70 |MS21042L4 NUT ooo eee cee cccceeeeceeeeeeeeeeeeeeeeeeeee eae aeaaeaaes 2
80 | PE64005-1 BUSHING 000. ccccceteteeeeeeeeeeeeeeeee es 2
90 | AN4-22A 3] ©) Et cere 1
100 | AN4-6A 5] ©) Et cre"
116,t_p_120_1176_p000116,00000116.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,110,5,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000116.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK edger eODE. FROM | PER
NUMBER TO ASSY
08 180 | 120-40636-001 . LINING ASSY., ARMREST ..............000ee VS4956 2
190 | 120-41474-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-191 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
200 | 120-41475-001 . COVER, TRIM, FRONT................ccceeeeees VS4956 2
ATTACHING PARTS
210 | PE17001-3PR PLUG, NYLON... cccceeceeettseeeeeeeeees 2
220 | NAS1096-1-8 SCREW ooo. ccccccccccccceccceseesscsstsseeeaaeeees 2
230 | AN960-C8 AAV ANS) | =] 2
240 | MS24693-C26 SCREW ooo. ccccccccceccescstestssseaseaneeeeeees 4
USAGE CODE LIST
A AIRCRAFT 120304 THRU 120308 AND
120310
-ITEM NOT ILLUSTRATED
Single Passenger Seat (120-61381-005)
Figure 8
Sheet 3
EFFECTIVITY: ALL 25-2 1 -00
Page 1077
T.P. 120/1176 Jan 15/01
"
117,t_p_120_1176_p000117,00000117.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,93,2,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000117.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
~~ 40
“Ss
S
190 _ / 20
@ | XX.
if
x , © SE BS
90 of, \ \ +10 150 C7? dL
a
80 L-7 BesS>
°° ob 480 a KZ
QD SF
- gO)
130 \ a
* ® yy ee
VGO wR
loos Me
SS se 170
(~~ 160
. 120
OD a \ .
210 270 230
ZSe 220 | 240 | A
“ SF A ws ) | Ry
ow = (B) 270 | ei (A)
| KE
t 280,
280 —~ § / 270
270 260”
260 ~?
120CMM251008.MCE
Single Passenger Seat (120-61547-501 and 120-41824-217/235)
Figure 8A
Sheet 1
EFFECTIVITY: ALL
25-21-00 Page 1078
T.P. 120/1176 Jan 15/01
"
118,t_p_120_1176_p000118,00000118.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,227,13,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000118.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM | PARTNUMBER | STOCK user eODE. FROM| PER
NUMBER To | ASSY
08A - [120-61547-501 SINGLE PASSENGER SEAT ASSV.............. VS4956 | 302/999] REF
- | 120-41824-235 SINGLE PASSENGER SEAT ASSV.............. VS4956 | 302/312] REF
- | 120-41824-217 SINGLE PASSENGER SEAT ASSV.............. VS4956 | 313/999] REF
1 | 120-29067-029 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-85) oooeeecccccecscsececsessseeseeessennsseeseens VS4956 |302/999] 1
-10 | 120-33774-537 LINING ASSY., SEAT BOTTOM............0. VS4956 | 302/312] 1
-11 | 120-33774-505 LINING ASSY., SEAT BOTTOM... VS4956 |313/999| 1
-12 | 120-37314-001 PLACARD oo ceecsccsssesseesssessteeseessteeecesttnneeesee VS4956 1
20 | 120-42221-537 LINING ASSY., SEAT BACKREST............ VS4956 | 302/312] 1
-21 |120-42221-511 LINING ASSY., SEAT BACKREST............ VS4956 | 313/999] 1
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST........-.0-. VS4956 "
119,t_p_120_1176_p000119,00000119.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,154,9,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000119.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM | PARTNUMBER | STOCK ese EODE. FROM| PER
NUMBER TO | ASSY
08A 180 | MS24693-C5 SCREW ooo coeccccececcsesssteteeststtsessittsenen 3
190 | 120-37313-535 HOLDER, MAGAZINE o...cccecscccceeeceneeee VS4956 | 302/312} 1
-191 | 120-37313-505 /HOLDER, MAGAZINE oo..cccceccccccceeseeeee VS4956 |313/999] 1
ATTACHING PARTS
-195 | 1002-F FASTER BUTTON, MALE o.....cccccccccescce 2
-196 | MS24693-C5 SCREW coos ccecccccessssstessssseeesesrieeeeerenneeensees 2
-197 | AN960-3L WASHER ooo ccsssescesssseseteeessvttteecesneneeeenee 2
-198 | H14-04 NUT oocccccssccssssssesessssteessesvenseeseeneeeesneeeeentee 2
200 | AMO03078-30 ASHTRAY ooo ccsscsescssssssseeseseseteeecessneesessenees E065846 1
210 | 120-40636-001 LINING ASSY., ARMREST oo.....ccccccccee VS4956 2
220 | 120-41474-002 _COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
230 | 120-41474-001 _COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
240 | 120-414"
120,t_p_120_1176_p000120,00000120.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,76,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000120.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
50
60
60

qs \ 30
100 Co (D)

bi

"" 70 do it (A) SS 40
8070 Ps
20 \ NN
110
SE iB
180 150 ©/ / / (A)

130 ee Af <—E
~ (©) EEF ©
SSeS ig By ‘

(/ 120 IS ff (C)
160 170
<P
aN Iyer 230 LF? |
oe Ry “ (A)
299 ~—«*190 = ; 270 ;
120TP250022.MCE
Single Passenger Seat (120-42547-001/501)
Figure 9
Sheet 1
EFFECTIVITY: ALL 25-21 -00 age 1078CI0
T.P. 120/1176 Jan 15/01
"
121,t_p_120_1176_p000121,00000121.tif,blank_candidate,blank_candidate,high,blank_candidate,,blank_candidate,auto_seeded,auto_seeded_pending_audit,False,low,,,0,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000121.tif,
122,t_p_120_1176_p000122,00000122.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,239,12,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000122.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
09 - | 120-42547-001 SINGLE PASSENGER SEAT ASSY ........... VS4956 A REF
- | 120-42547-501 SINGLE PASSENGER SEAT ASSY ........... VS4956 | 172/999} REF
1 | 120-42660-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-112) 0.0.0... VS4956 1
10 | 120-29067-019 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-80) oo cece ee ee ee eeeeeeeee VS4956 A 1
-11 | 120-29067-029 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-80) ooo cece ee ee eee VS4956 | 172/999 1
20 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-42221-001 . LINING ASSY., SEAT BACKREST........... VS4956 1
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-45726-001 . COVER, PLASTIC... cee ceeeeeeeeeees VS4956 B 1
60 | PE915051-1-PT W SEAT BELT... cccccccccccensessttsteneeaes VS4956 1
ATTACHING PARTS
70 | AN960-416L VAN"
123,t_p_120_1176_p000123,00000123.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,217,9,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000123.tif,"€& emenncr

MAINTENANCE MANUAL WITH

USAGE CODE LIST

A AIRCRAFT 120057 AND 120058,
120060 THRU 120171

B AIRCRAFT 120104 THRU 120308 AND
120310

C AIRCRAFT 120057 AND 120058,
120060 THRU 120118

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Mater eODE. FROM| PER
NUMBER TO | ASSY
09 ATTACHING PARTS
-195 | 1002-F _ FASTENER BUTTON, MALE.......:.cccccceeee: E075221 2
-196 | AN960-6L WASHER es sesscessesssesseessvessvecssesereeeseeseeeeees 2
-197 | H14-06 NUT ooccccccccseessecssessecessessresssessrecssessreeesteasees 2
-198 | MS24693-C26 SCREW. ecccccccssesssessecssesseessesevesseesseceseee 2
200 | AM03078-22 ASHTRAY occccssccssesssesssesssecsseesssesseesssessreseees E065846| 057/058} 1
-201 | AM03078-30 ASHTRAY 0 cccccsecssecssessseessessseesssessscessessreseees E065846| 060/999] 1
210 | 120-40636-001 LINING ASSY., ARMREST......c..ccccccecceeee VS4956 2
220 | 120-41474-001 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
-221 | 120-41474-"
124,t_p_120_1176_p000124,00000124.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,84,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000124.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

60

O

100

90

pe

70

SS

40

80 \\

70

A)

90

is

110

oN

SF 290

 B

<—S

130

180 150 C? 240

i

S&S

140 (C)

DS

CS \ re

>

ce

I~ ee

(

120

SS

160

170

200 PB

210

250

230

220

290

Ft

290 ——

IN

‘

-

\\

(Sy

J

300

a

a

200-—F

ay

270‘

26

120TP250023.MCE

Single Passenger Seat (120-42547-003/503)

Figure 10

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1081

Sep 30/98
"
125,t_p_120_1176_p000125,00000125.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,226,12,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000125.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM; PARTNUMBER | STOCK Mater eODE. FROM; PER
NUMBER TO ASSY
10 - | 120-42547-003 SINGLE PASSENGER SEAT ASSY ............ VS4956 A REF
- | 120-42547-503 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 172/999} REF
1 | 120-42660-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-112) 0 VS4956 1
10 | 120-29067-021 . STRUCTURE, ASSY. (SEE FIGURE VS4956
295-21-00-81) ooo. eee etetteeeeeeneneeeereen A 1
-11 | 120-29067-031 . STRUCTURE, ASSY. (SEE FIGURE VS4956
295-21-00-81) ooo. eee etetteeeeeeneneeeereen 172/999 1
20 | 120-33774-001 LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-42221-001 LINING ASSY., SEAT BACKREST............ VS4956 1
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-45726-001 . COVER, PLASTIC... eeceeteertreeen VS4956 B 1
60 | PE915051-1-PT / SEAT BELLT...........0ccceceeeeteeeeeeeeseeeeenreneees VS4956 1
ATTACHING PAR"
126,t_p_120_1176_p000126,00000126.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,222,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000126.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
10 ATTACHING PARTS
-195 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 2
-196 | AN960-6L © WASHER 2... eee ccccececcceeetsnsssessaeeeeenees 2
-197 |H14-06 SC re 2
-198 |MS24693-C26 SCREW ©... oo. cceccceeecee cee eeeeeeeeeeeeeeeeeeneeeeene 2
200 | AM03078-22 ASHTRAY 0... ccccccccccccccceceeeeceeetseetttsaeesnanees E065846| 057/058 1
-201 | AM03078-30 ASHTRAY uo. ccccccccccccccceeceeceeeetseesttssteeeeneees E065846 | 060/999 1
210 | 120-40636-001 . LINING ASSY., ARMREST... VS4956 1
220 | 120-41474-002 . COVER, TRIM, REAR-FIXED
ARMREST ............cccccesecseeeeeeeeeeeescssssteseeeeees VS4956 1
230 | 120-41475-003 . COVER, TRIM, FRONT...............c0c eee VS4956 1
240 | 120-41784-001 . COVER, TRIM, LATERAL .................0ce VS4956 1
250 | 120-41208-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-1"
