page_number,page_id,source_member,source_image_path,source_image_sha256,legacy_route,suggested_canonical_route,suggested_route_confidence,suggested_route_reasons,gold_route_label,review_status,review_notes,ocr_word_count,ocr_char_count,part_number_count,part_number_sample,ocr_sample_text,raw_route_reasons,processor_contract,answer_permission,source_truth_mutation_allowed
138,t_p_120_1176_p000138,00000138.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000138.tif,342f64631cb081a8c0ccd6069db24b3ff6a68bb313b0257c6d4a0fa22da278f4,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,174,1521,9,"[""120-40636-001"", ""120-41208-001"", ""120-41474-002"", ""120-41475-003"", ""120-41784-001"", ""120-42547-019"", ""120-45850-003"", ""120-47462-001"", ""120-61610-001""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
14 160 | AM03078-30 ASHTRAY uo. cccccccccccccccccceecceeetseetsassaneeaaeees E065846 1
170 | 120-40636-001 . LINING ASSY., - ARMREST...........00..0e VS4956 1
180 | 120-41474-002 . COVER, TRIM REAR-FIXED ARMREST... VS4956 1
190 | 120-41475-003 . COVER, TRIM FRONT...............cccceeeeeeee VS4956 1
200 | 120-41784-001 . COVER, TRIM, LATERAL .................0ce VS4956 1
210 | 120-41208-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ......... ee VS4956 | 071/118 1
-211 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ......... ee VS4956 | 119/315 1
-212 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ......... ee VS4956 | 316/999 1
220 | 120-42547-019 SECTION , PVC woo. ccccccccneettsseeaees VS4956 1
ATTACHING PARTS
230 | PE17001-3PR PLUG, NYLON o.oo... cece","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
139,t_p_120_1176_p000139,00000139.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000139.tif,c8687f063a311ba50c328a9fcfaa856d7cda1db93e19484e8407f26e96fbbe15,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,83,470,1,"[""120-45850-007""]","-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
JESS. 40
ae \ \
Ye \\
_~ i:
, <> ‘s 20
140 =
(B) mS 30
o| Om
90 PR. <> (A)
80 \ ao /
70 | \ a 4p |
70 seS5
* of Ln Shen SF |
eo
120 Pe
Se 10 />
VFO br
les c
(( 110
~<a
160
1 ee 30 * von 480 1
190
250-— : Sx (B) 250 — : x (A)
BE |
ae
a4 240 ;
220 220
120TP250028.MCE
Single Passenger Seat (120-45850-007/507)
Figure 15
Sheet 1
EFFECTIVITY: ALL 25-2 1 -00
Page 1096
Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
140,t_p_120_1176_p000140,00000140.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000140.tif,fc9c1d2c38f25d99408273c133ec5dc10fd1adca30366c90548aae047e1e2da5,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,268,2202,16,"[""120-29067-027"", ""120-29067-037"", ""120-36842-001"", ""120-37313-001"", ""120-40636-001"", ""120-40636-003"", ""120-41474-001"", ""120-41475-001"", ""120-41475-003"", ""120-42070-001"", ""120-42547-019"", ""120-45726-001"", ""120-45847-001"", ""120-45848-001"", ""120-45850-007"", ""120-45850-507""]","€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
15 - | 120-45850-007 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 071/171} REF
- | 120-45850-507 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 172/999} REF
1 | 120-29067-027 . STRUCTURE, ASSY. (SEE FIGURE
29-21-00-85) ooo cece cece eee e eee VS4956 | 071/171 1
-2 | 120-29067-037 . STRUCTURE, ASSY. (SEE FIGURE
29-21-00-85) ooo cece cece eee e eee VS4956 | 172/999 1
10 | 120-45847-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
20 | 120-45848-001 . LINING ASSY., SEAT BACKREST.............. VS4956 1
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST ............... VS4956 1
40 | 120-45726-001 . COVER, PLASTIC... ceceeceeennees VS4956 A 1
50 | PE915051-1-PT / SEAT BELT... ccccccccensssneesseeeeeeeees VS4956 1
ATTACHING PARTS
60 | AN960-416L WASHER .........cccccescesseeeeeeeeeeeeceesenststeseanaees 2
70 | MS21042L4","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
141,t_p_120_1176_p000141,00000141.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000141.tif,b326cc1f36bc607731f2fcf5cb78b53f91915ad63253d2204734427e45aca70e,table,detailed_parts_list,medium,"[""part_number_present"", ""ipl_column_terms""]",,needs_review,,78,656,1,"[""120-45850-007""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM; PARTNUMBER | STOCK Maer EODE. FROM; PER
NUMBER TO ASSY
15 ATTACHING PARTS
220 | PE1/001-3PR . PLUG, NYLON |... eee certeeereetteteeen 2
230 | NAS1096-1-8 SCREW... cecccceceereeeeertteeenteeeensneeeennnees 2
240 | AN960-8L ~ WASHER LL... cccceeeree cette eentneeeteeteeenees 2
250 | MS24693-C28 SCREW... ceeceecceeereeneereeeeeneeeeetneeeenes 4

USAGE CODE LIST

A AIRCRAFT 120104 THRU 120308 AND
120310

-ITEM NOT ILLUSTRATED
Single Passenger Seat (120-45850-007/507)

Figure 15
Sheet 3

EFFECTIVITY: ALL 25-21 -00
Page 1098

Sep 30/98

","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
142,t_p_120_1176_p000142,00000142.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000142.tif,4e1da79800c8543089c538b9614def79a030f6a0302470c28187b663e1fa4d6a,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,67,506,1,"[""120-45850-005""]","-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

60

60

30

100

90

70

40

80 |

80

70

90 410

Pa

SF

210

Ie

130

a

S35

aa

GL

140 (C)

\imenel

120

a

LU

160

170

250

200

190

180

250 ——

Q

NI

(ay

260

\\

q

a

240

=,

230

220

120TP250029.MCE

Single Passenger Seat (120-45850-005/505)

Figure 16

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1099

Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
143,t_p_120_1176_p000143,00000143.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000143.tif,0f07cf743422014e0653e14d0fb6a27ff6ce4837c6c819d7781c0f9e24a737da,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,237,1981,11,"[""120-29067-025"", ""120-29067-035"", ""120-36842-001"", ""120-37313-001"", ""120-42070-001"", ""120-42660-001"", ""120-45726-001"", ""120-45847-001"", ""120-45848-001"", ""120-45850-005"", ""120-45850-505""]","€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM; PARTNUMBER | STOCK NOMENCLATURE EODE. FROM; PER
NUMBER TO ASSY
16 - | 120-45850-005 SINGLE PASSENGER SEAT ASSY ............ VS4956 |071/171} REF
- | 120-45850-505 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 172/999} REF
1 | 120-42660-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-112) 0 VS4956 1
10 | 120-29067-025 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-84) ooo eee ee eter en eeereees VS4956 | 071/171 1
-11 | 120-29067-035 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-84) ooo eee ee eter en eeereees VS4956 | 172/999 1
20 | 120-45847-001 LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-45848-001 _ LINING ASSY., SEAT BACKREST............. VS4956 1
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-45726-001 . COVER, PLASTIC... ee eerteeerteeen VS4956 A 1
60 |}PE915051-1-PT =| ss J. SEAT BELT... eeccnteereeenies VS4956 1
ATTACHING PA","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
144,t_p_120_1176_p000144,00000144.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000144.tif,c7d50c16e790f5e62b6b93ea21ddc6aaef6cb66cd8370388b6737daa4102df22,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,185,1513,10,"[""120-40636-001"", ""120-41208-001"", ""120-41474-001"", ""120-41474-002"", ""120-41475-001"", ""120-41475-003"", ""120-42547-019"", ""120-45850-005"", ""120-47462-001"", ""120-61610-001""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK vase EODE. FROM PER
NUMBER TO ASSY
16 160 | AM03078-30 ASHTRAY oo... cccccccceccccccuccucecusecceusceuseenveneees E065846 1
170 | 120-40636-001 . LINING ASSY., - ARMREST..............00000. VS4956 2
180 | 120-41474-001 . COVER, TRIM REAR-FIXED ARMREST... VS4956 1
-181 | 120-41474-002 . COVER, TRIM REAR-FIXED ARMREST... VS4956 1
190 120-41475-001 . COVER, TRIM FRONT.......0..0.. ee VS4956 1
-191 | 120-41475-003 . COVER, TRIM FRONT.......00.000c ee. . VS4956 1
200 120-41208-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ..... VS4956 | 071/118 1
-201 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ..... VS4956 | 119/315 1
-202 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) ..... VS4956 | 316/999 1
210 120-42547-019 . SECTION , PVC ou. cece cece eeeeeees VS4956 1
ATTACHING PARTS
220 |PE17001-3P","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
145,t_p_120_1176_p000145,00000145.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000145.tif,2bd0ab49f7f7c65b2a0b4c530e1c3c1fa27523c454f3a02b6c41994d8534a952,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,67,517,1,"[""120-36833-001""]","-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

60

60

30

100

90

70

ps

80 /

80

70

MD Es

40

-

110

SF

CB

180 150

130

am

a

a

OS

20

Nes.

(

Je

120

10

Y

160 170

200

210

220

240

230

250

250-———

~

~

NI

\

(Sy

250

\

a

a

~!

250.

120TP250030.MCE

Single Passenger Seat (120-36833-001)

Figure 17

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1102

Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
146,t_p_120_1176_p000146,00000146.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000146.tif,828abbf56618c4db78e39b838a2818efb1ca4dbe706298512fca1cf75caec95b,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,210,1685,10,"[""120-29067-001"", ""120-29072-001"", ""120-33774-001"", ""120-36833-001"", ""120-36833-017"", ""120-36838-001"", ""120-36842-001"", ""120-36843-001"", ""120-46439-001"", ""120-46443-001""]","€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF UNITS
FIG. ITEM PART NUMBER STOCK vase EODE. FROM PER
NUMBER TO ASSY
17 - | 120-36833-001 SINGLE PASSENGER SEAT ASSY ............ VS4956 | 028/034; REF
1 |120-29072-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-110).....0..0. VS4956 1
10 | 120-29067-001 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-79) ooo. ccceecccccceeeeeteeeeeeeenaees VS4956 1
20 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-36838-001 . LINING ASSY., SEAT BACKREST............. VS4956 1
40 | 120-46443-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-46439-001 . COMPLEMENT, BACKREST ..................... VS4956 1
60 | PE915051-1-PT SEAT BELT wu... ccc. ccc ccccceccccccecceeeccuseeueeeeees VS4956 1
ATTACHING PARTS
70 | AN960-416L ANS) |) 2
80 |MS21042L4 NO 2
90 | PE64005-1 BUSHING 2.0... occ cccccccceccceccecceeeceneeeceeeeanes 2
100 | AN4-22A 1 O) El ee 1
110 | AN4-5A SO) Al ","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
147,t_p_120_1176_p000147,00000147.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000147.tif,62044bf56bba37a8873c47a9585f539b6f90e28b1f19f7c04733ea7d1b1534e4,table,detailed_parts_list,medium,"[""part_number_present"", ""ipl_column_terms""]",,needs_review,,122,1061,7,"[""120-34691-001"", ""120-34891-001"", ""120-34891-003"", ""120-36833-001"", ""120-36839-001"", ""120-36844-001"", ""120-36844-002""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
17 ATTACHING PARTS
-195 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 2
-196 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
200 | AM03078-22 ASHTRAY 0cscocececsssssecesosseeteesestttessesenneee E065846
-210 | 120-36839-001 _ LINING ASSY., - ARMREST o.......ccccoe VS4956
220 | 120-34691-001 COVER, LATCH, SNACK TABLE ASS
(SEE FIGURE 25-21-00-110)Y ...ccececcccee VS4956 1
230 | 120-36844-001 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
-231 | 120-36844-002 _COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
240 | 120-34891-003 COVER, TRIM, FRONT 0.0...cccccccccccscseeeeeee VS4956 1
-241 | 120-34891-001 COVER, TRIM, FRONT .o..cccccccccsscceeeeee VS4956 1

ATTACHING PARTS

250 | MS24693-S24 SCREW... ceeccecceereeesereeeeeneteeeeneeeennns 9g

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-001)
Figure 17
Shee","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
148,t_p_120_1176_p000148,00000148.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000148.tif,9f5f441e66fe6f394d1385003fabd3aac57ed35b24af4f877f2d994f2daf1876,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,70,509,1,"[""120-36833-501""]","-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

60

30

100

90

lI

po

70

80

40

807

Ps

® Qe

90 \

110

SF

1B

130

150 C? y

<So°5

oor

140

es.

se

(

120

A

170

180

190

210

200

(Le

210 ——

2

y

\

N

160

a

\

ay

210

a

2

210 A

m

120TP250031A.MCE

Single Passenger Seat (120-36833-501)

Figure 18

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1105

Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
149,t_p_120_1176_p000149,00000149.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000149.tif,49a7dfbae7a4a43796b85280bd00042f0ab2b0e6767e420093a2428bc4c88d47,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,207,1860,11,"[""120-29067-001"", ""120-33774-001"", ""120-36833-015"", ""120-36833-017"", ""120-36833-501"", ""120-36838-001"", ""120-36842-001"", ""120-37313-001"", ""120-37735-001"", ""120-46439-001"", ""120-46443-001""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Mater eODE. FROM| PER
NUMBER To | ASSY
18 - | 120-36833-501 SINGLE PASSENGER SEAT ASSY ............ vs4956 | A REF
1 | 120-36833-015 _ KIT, SNACK TABLE FOLDING, ASSY
(SEE FIGURE 25-21-00-111) 0... VS4956 1
10 | 120-29067-001 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-79) ooo cccecccecsesssstetesesstensetsventeee VS4956 1
20 | 120-33774-001 LINING ASSY., SEAT BOTTOM .........000.-- VS4956 1
30 | 120-36838-001 _ LINING ASSY., SEAT BACKREST............. VS4956 1
40 | 120-46443-001 . FOAM ASSY., SEAT BACKREST ...........--- VS4956 1
50 | 120-46439-001 .COMPLEMENT, BACKREST ...........000000 VS4956 1
60 | PE915051-1-PT SEAT BELT cece cecscesccccssesteeseseenteeseseeeeen VS4956 1
ATTACHING PARTS
70 | AN960-416L WASHER 2.0. cssssssssessesseesesesssteesenestneesenseees 2
80 |MS21042L4 NUT occ cccsoseseessssssseeessesteseesessneesenveneesesesees 2
90 | PE64005-1 BUSHING ","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
150,t_p_120_1176_p000150,00000150.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000150.tif,52252642d3de1030ff67aa06185decd39103bed6c80018a5b4404e75c55666aa,table,detailed_parts_list,medium,"[""part_number_present"", ""ipl_column_terms""]",,needs_review,,92,732,5,"[""120-36833-501"", ""120-40795-001"", ""120-40795-002"", ""120-40796-001"", ""120-40796-003""]","€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK vase EODE. FROM | PER
NUMBER TO ASSY
18 190 | 120-40795-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
-191 | 120-40795-001 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
200 | 120-40796-001 . COVER, TRIM, FRONT...........0:: ee eeeeeees VS4956 1
-201 | 120-40796-003 . COVER, TRIM, FRONT.............. eee: VS4956 1
ATTACHING PARTS
210 | MS24693-S24 SCREW 0 eeccccecereeeeeeeeeesneeeeentreeeneneeees 9g

USAGE CODE LIST

A AIRCRAFT 120034 THRU 120048 AND
120052

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-501)
Figure 18
Sheet 3

EFFECTIVITY: ALL 25-21 -00
Page 1107

Sep 30/98

","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
151,t_p_120_1176_p000151,00000151.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000151.tif,a211789305e9a5ad6d59e985d18fb0507391e89435c7c1eb9f3b7cdac54a4842,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,68,510,1,"[""120-36833-509""]","MAINTENANCE MANUAL WITH

-< EMBRAER

ILLUSTRATED PARTS LIST

60

60

30

100 |

90

80 79

Pee

30 \

110

1B

180 150 C?

SF

130

SoS

Nai

oo

>

O

140

20

YS

Nes.

Je

10

(

120

s,

160 170

200

210

220

240

X

a

230

240-—

aN

\

190

a

a

240

a

240 —*

=,

120TP250032A.MCE

Single Passenger Seat (120-36833-509)

Figure 19

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1108

Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
152,t_p_120_1176_p000152,00000152.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000152.tif,1eb1346a38edbf3638f8fa10c7fe86035a954f8708dd82e402a649b7fe22a07a,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,210,1675,10,"[""120-29067-001"", ""120-33774-001"", ""120-36833-015"", ""120-36833-017"", ""120-36833-509"", ""120-36838-001"", ""120-36842-001"", ""120-36843-001"", ""120-46439-001"", ""120-46443-001""]","€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK vase EODE. FROM PER
NUMBER TO ASSY
19 - | 120-36833-509 SINGLE PASSENGER SEAT ASSY ............ VS4956 A REF
1 | 120-36833-015 _ KIT, SNACK TABLE FOLDING, ASSY
(SEE FIGURE 25-21-00-111) ...... VS4956
10 | 120-29067-001 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-79) ooo. ccceecccccceeeeeteeeeeeeenaees VS4956 1
20 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................ VS4956 1
30 | 120-36838-001 . LINING ASSY., SEAT BACKREST............. VS4956 1
40 | 120-46443-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 1
50 | 120-46439-001 . COMPLEMENT, BACKREST ...........0........ VS4956 1
60 | PE915051-1-PT SEAT BELT wu... ccc. ccc ccccceccccccecceeeccuseeueeeeees VS4956 1
ATTACHING PARTS
70 | AN960-416L ANS) |) 2
80 |MS21042L4 NO 2
90 | PE64005-1 BUSHING 2.0... occ cccccccceccceccecceeeceneeeceeeeanes 2
100 | AN4-22A 1 O) El ee 1
110 | AN4-5A SO) Al ee 1
12","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
153,t_p_120_1176_p000153,00000153.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000153.tif,218c5cf2d5435fb83bf33e3c27986015888a81afd0225f786d7d8e072121a96f,table,detailed_parts_list,medium,"[""part_number_present"", ""ipl_column_terms""]",,needs_review,,123,1053,6,"[""120-36833-509"", ""120-37735-001"", ""120-40795-001"", ""120-40795-002"", ""120-40796-001"", ""120-40796-003""]","€& emenncr

USAGE CODE LIST

A AIRCRAFT 120034 THRU 120048,
120052, 120056 AND 120059

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
19 ATTACHING PARTS
-195 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 2
-196 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 2
200 | AM03078-22 ASHTRAY 0cscocececsssssecesosseeteesestttessesenneee E065846 1
210 | 120-37735-001 _ LINING ASSY., - ARMREST ........sccccceee VS4956 2
220 | 120-40795-002 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
-221 | 120-40795-001 _COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
230 | 120-40796-001 COVER, TRIM, FRONT 0.0...cccccccccccscseeeeeee VS4956 1
-231 | 120-40796-003 COVER, TRIM, FRONT o.....cccccccccccscceeeeeee VS4956 1
ATTACHING PARTS
240 | MS24693-S24 SCREW oo eeccscsssssssecssesseeesesseteeseseneeesvneeen 9

-ITEM NOT ILLUSTRATED

Single Passenger Seat (120-36833-509)
Figure 19
Sheet 3

EFF","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
154,t_p_120_1176_p000154,00000154.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000154.tif,dca8354cd0e46f23f4b1e7dcae9acb97e454ca44ec744bddf828c81613f9dbbd,table,image_visual_diagram,medium,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,needs_review,,75,408,1,"[""120-36833-003""]","-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
60 40
rh | 30
100 90 “Ds (D) eo 50 —
Q 40
9° 410 se
EE, 260 — B
t 50 (7 y / ae P
130 Of Ke
< SK [> —— (D)
or \/& UA Qneé
(a= 120 . @, (C)
109 70
200
© “SO 210 20 260
250 AN ao 230 | | Lb
60 <2)
Qt) 260-~*
120TP250033.MCE
Single Passenger Seat (120-36833-003)
Figure 20
Sheet 1
EFFECTIVITY: ALL 25-21 -00 page 1111
Sep 30/98
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
155,t_p_120_1176_p000155,00000155.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000155.tif,64f030511eed5b6e76892503f301fa01f1c04a07fef96f95b2e7750df69dad1f,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,192,1827,10,"[""120-29067-003"", ""120-29072-001"", ""120-33774-001"", ""120-36833-003"", ""120-36833-017"", ""120-36838-001"", ""120-36842-001"", ""120-36843-001"", ""120-46439-001"", ""120-46443-001""]","€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM; PARTNUMBER | STOCK  aaser EODE. FROM| PER
NUMBER To | ASSY
20 - | 120-36833-003 SINGLE PASSENGER SEAT ASSY............. VS4956 [028/033] REF
1 | 120-29072-001 _ TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-110) 2... VS4956 1
10 | 120-29067-003 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-81) oocccccccccccessssstteetesesteeteeeeenten VS4956 1
20 | 120-33774-001 LINING ASSY., SEAT BOTTOM ........000.-. VS4956 1
30 | 120-36838-001 _ LINING ASSY., SEAT BACKREST ........... VS4956 1
40 | 120-46443-001 _ FOAM ASSY., SEAT BACKREST ........0.--. VS4956 1
50 | 120-46439-001 _COMPLEMENT, BACKREST...........00000-+ VS4956 1
60 | PE915051-1-PT SEAT BELT occ ccccceccesessseccseesseneeeeneneee VS4956 1
ATTACHING PARTS
70 | AN960-416L WASHER o....csssesssesssssstesssessteteeeestttnseesseens 2
80 |MS21042L4 NUT ooeccccccessesseeesssesneesssensesesseeeseertenseenneens 2
90 | PE64005-1 BUSHING 2","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
